TimeStamp,Track,DTC Footage
2021-09-01 05:14:12,2041,1861
2021-09-01 05:14:14,2041,1894
2021-09-01 05:14:16,2041,1903
2021-09-01 05:14:18,2041,1908
2021-09-01 05:14:20,2041,1944
2021-09-01 05:14:22,2041,1954
2021-09-01 05:14:24,2041,1973
2021-09-01 05:14:26,2041,1980
2021-09-01 05:14:28,2041,1989
2021-09-01 05:14:30,2041,2010
2021-09-01 05:14:32,2041,2018
2021-09-01 05:14:34,2041,2033
2021-09-01 05:14:36,2041,2050
2021-09-01 05:14:38,2041,2059
2021-09-01 05:14:40,2041,2077
2021-09-01 05:14:42,2041,2107
2021-09-01 05:14:44,2041,2119
2021-09-01 05:14:46,2041,2113
2021-09-01 05:14:48,2041,2149
2021-09-01 05:14:50,2041,2147
2021-09-01 05:14:52,2041,2150
2021-09-01 05:14:54,2041,2161
2021-09-01 05:14:56,2041,2154
2021-09-01 05:14:58,2041,2160
2021-09-01 05:15:00,2041,2162
2021-09-01 05:15:02,2041,2163
2021-09-01 05:15:04,2041,2162
2021-09-01 05:15:06,2041,2162
2021-09-01 05:15:08,2041,2161
2021-09-01 05:15:10,2041,2162
2021-09-01 05:15:12,2041,2162
2021-09-01 05:15:14,2041,2162
2021-09-01 05:15:16,2041,2162
2021-09-01 05:15:18,2041,2162
2021-09-01 05:15:20,2041,2161
2021-09-01 05:15:22,2041,2161
2021-09-01 05:15:24,2041,2161
2021-09-01 05:15:26,2041,2160
2021-09-01 05:15:28,2041,2160
2021-09-01 05:15:30,2041,2160
2021-09-01 06:08:48,2041,1444
2021-09-01 06:08:50,2041,25
2021-09-01 06:08:52,2041,10
2021-09-01 06:08:54,2041,19
2021-09-01 06:08:56,2041,45
2021-09-01 06:08:58,2041,12
2021-09-01 06:09:00,2041,36
2021-09-01 06:09:02,2041,63
2021-09-01 06:09:04,2041,86
2021-09-01 06:09:06,2041,110
2021-09-01 06:09:08,2041,136
2021-09-01 06:09:10,2041,159
2021-09-01 06:09:12,2041,182
2021-09-01 06:09:14,2041,206
2021-09-01 06:09:16,2041,228
2021-09-01 06:09:18,2041,249
2021-09-01 06:09:20,2041,269
2021-09-01 06:09:22,2041,290
2021-09-01 06:09:24,2041,309
2021-09-01 06:09:26,2041,328
2021-09-01 06:09:28,2041,351
2021-09-01 06:09:30,2041,371
2021-09-01 06:09:32,2041,390
2021-09-01 06:09:34,2041,412
2021-09-01 06:09:36,2041,430
2021-09-01 06:09:38,2041,448
2021-09-01 06:09:40,2041,468
2021-09-01 06:09:42,2041,490
2021-09-01 06:09:44,2041,511
2021-09-01 06:09:46,2041,530
2021-09-01 06:09:48,2041,550
2021-09-01 06:09:50,2041,570
2021-09-01 06:09:52,2041,592
2021-09-01 06:09:54,2041,614
2021-09-01 06:09:56,2041,634
2021-09-01 06:09:58,2041,654
2021-09-01 06:10:00,2041,675
2021-09-01 06:10:02,2041,694
2021-09-01 06:10:04,2041,715
2021-09-01 06:10:06,2041,735
2021-09-01 06:10:08,2041,758
2021-09-01 06:10:10,2041,778
2021-09-01 06:10:12,2041,799
2021-09-01 06:10:14,2041,819
2021-09-01 06:10:16,2041,840
2021-09-01 06:10:18,2041,860
2021-09-01 06:10:20,2041,881
2021-09-01 06:10:22,2041,904
2021-09-01 06:10:24,2041,924
2021-09-01 06:10:26,2041,945
2021-09-01 06:10:28,2041,966
2021-09-01 06:10:30,2041,987
2021-09-01 06:10:32,2041,1009
2021-09-01 06:10:34,2041,1029
2021-09-01 06:10:36,2041,1052
2021-09-01 06:10:38,2041,1074
2021-09-01 06:10:40,2041,1095
2021-09-01 06:10:42,2041,1133
2021-09-01 06:10:44,2041,1136
2021-09-01 06:10:46,2041,1177
2021-09-01 06:10:48,2041,1187
2021-09-01 06:10:50,2041,1212
2021-09-01 06:10:52,2041,1228
2021-09-01 06:10:54,2041,1243
2021-09-01 06:10:56,2041,1267
2021-09-01 06:10:58,2041,1287
2021-09-01 06:11:00,2041,1331
2021-09-01 06:11:02,2041,1324
2021-09-01 06:11:04,2041,1351
2021-09-01 06:11:06,2041,1364
2021-09-01 06:11:08,2041,1392
2021-09-01 06:11:10,2041,1406
2021-09-01 06:11:12,2041,1427
2021-09-01 06:11:14,2041,1470
2021-09-01 06:11:16,2041,1485
2021-09-01 06:11:18,2041,1482
2021-09-01 06:11:20,2041,1519
2021-09-01 06:11:22,2041,1539
2021-09-01 06:11:24,2041,1562
2021-09-01 06:11:26,2041,1561
2021-09-01 06:11:28,2041,1574
2021-09-01 06:11:30,2041,1595
2021-09-01 06:11:32,2041,1613
2021-09-01 06:11:34,2041,1630
2021-09-01 06:11:36,2041,1648
2021-09-01 06:11:38,2041,1666
2021-09-01 06:11:40,2041,1687
2021-09-01 06:11:42,2041,1705
2021-09-01 06:11:44,2041,1730
2021-09-01 06:11:46,2041,1762
2021-09-01 06:11:48,2041,1784
2021-09-01 06:11:50,2041,1784
2021-09-01 06:11:52,2041,1795
2021-09-01 06:11:54,2041,1825
2021-09-01 06:11:56,2041,1835
2021-09-01 06:11:58,2041,1867
2021-09-01 06:12:00,2041,1881
2021-09-01 06:12:02,2041,1902
2021-09-01 06:12:04,2041,1916
2021-09-01 06:12:06,2041,1939
2021-09-01 06:12:08,2041,1957
2021-09-01 06:12:10,2041,1966
2021-09-01 06:12:12,2041,1996
2021-09-01 06:12:14,2041,1993
2021-09-01 06:12:16,2041,2007
2021-09-01 06:12:18,2041,2022
2021-09-01 06:12:20,2041,2039
2021-09-01 06:12:22,2041,2060
2021-09-01 06:12:24,2041,2059
2021-09-01 06:12:26,2041,2059
2021-09-01 06:12:28,2041,2059
2021-09-01 06:12:30,2041,2059
2021-09-01 06:12:32,2041,2059
2021-09-01 06:12:34,2041,2060
2021-09-01 06:12:36,2041,2060
2021-09-01 06:12:38,2041,2060
2021-09-01 06:12:40,2041,2059
2021-09-01 06:12:43,2041,2059
2021-09-01 06:12:45,2041,2059
2021-09-01 06:12:47,2041,2059
2021-09-01 06:12:49,2041,2059
