Car Number,Rollability (lbs)
226414,1024.3902439024391
31119,919.9999999999999
734102,253.8364779874214
475648,1100.0000000000002
42302,87.0
42428,237.22222222222223
42036,236.33333333333331
291636,252.71604938271602
250941,249.50617283950618
31158,959.0697674418604
231281,1013.8095238095236
11073,1050.9523809523807
207429,989.3023255813954
19208,980.952380952381
209853,1062.439024390244
42048,456.3829787234043
434974,390.5882352941177
763138,250.71428571428572
761918,243.2183908045977
25105,1162.0
640315,986.5116279069766
11253,239.3103448275862
5434,414.9999999999999
666467,1036.6666666666667
